Well,API #,Stage,Crew,Start Date,Start Time,End Date,End Time,When  (Except Pumping),Party,Reason,Comments,TimeInMin,
Briscoe Carla Ranch 18 HX,42-127-38291,,L3,3/7/20,6:02,3/7/20,6:20,Between Stages,Operating,Prime and Test,,18,
Briscoe Carla Ranch 18 HX,42-127-38291,5,L3,3/7/20,6:20,3/7/20,8:31,,Operating,Pumping,"FP1,FP25,FP55 V&S; ran a sweep to clean hopper screen; All Proppant Placed. Good Stage",131,
Briscoe Carla Ranch 18 HY,42-127-38292,,L3,3/7/20,8:31,3/7/20,9:01,Between Stages,Operating,Well Swap,,30,
Briscoe Carla Ranch 18 HY,42-127-38292,,L3,3/7/20,9:01,3/7/20,9:06,Between Stages,NPT_Operations,Iron,replacing a plug valve due to a leak,5,
Briscoe Carla Ranch 18 HY,42-127-38292,,L3,3/7/20,9:06,3/7/20,9:12,Between Stages,Operating,Prime and Test,,6,
Briscoe Carla Ranch 18 HY,42-127-38292,5,L3,3/7/20,9:12,3/7/20,11:25,,Operating,Pumping,FP3 V&S; ran a sweep to clean hopper screen; All Proppant Placed. Good Stage,133,
Briscoe Carla Ranch 18 HZ,42-127-38293,,L3,3/7/20,11:25,3/7/20,11:55,Between Stages,Operating,Well Swap,,30,
Briscoe Carla Ranch 18 HZ,42-127-38293,,L3,3/7/20,11:55,3/7/20,11:59,Between Stages,NPT_Operations,Pump Maintenance,we added FP1 & FP25 back in line,4,
Briscoe Carla Ranch 18 HZ,42-127-38293,5,L3,3/7/20,11:59,3/7/20,12:17,,Operating,Pumping,,18,
Briscoe Carla Ranch 18 HZ,42-127-38293,,L3,3/7/20,12:17,3/7/20,15:31,During Stage,NPT_Operations,Manifold,missile leak. Waiting on a welder to come out here and weld it,194,
Briscoe Carla Ranch 18 HZ,42-127-38293,,L3,3/7/20,15:31,3/7/20,16:01,During Stage,NPT_Operations,Prime and Test,,30,
Briscoe Carla Ranch 18 HZ,42-127-38293,5,L3,3/7/20,16:01,3/7/20,18:00,,Operating,Pumping,resumed stage; FP23 D-ring hole 4; FP5 V&S; ran a sweep to clean hopper screen; ,119,
Briscoe Carla Ranch 18 HZ,42-127-38293,5,L1,3/7/20,18:00,3/7/20,18:08,,Operating,Pumping,,8,
Briscoe Carla Ranch 18 HX,42-127-38291,,L1,3/7/20,18:08,3/7/20,18:20,Between Stages,Operating,Well Swap,,12,
Briscoe Carla Ranch 18 HX,42-127-38291,6,L1,3/7/20,18:20,3/7/20,20:28,,Operating,Pumping,"Dirty sweep was done in order to clean out the hopper screens free of pebbles, all prop was placed. ",128,
Briscoe Carla Ranch 18 HY,42-127-38292,,L1,3/7/20,20:28,3/7/20,20:44,Between Stages,Operating,Well Swap,,16,
Briscoe Carla Ranch 18 HY,42-127-38292,6,L1,3/7/20,20:44,3/7/20,22:59,,Operating,Pumping,"Lost two screws during 2.00ppg , mechanic troubleshooting problem, no additonal time tier was added due to mechanical issues.",135,
Briscoe Carla Ranch 18 HZ,42-127-38293,,L1,3/7/20,22:59,3/7/20,23:15,Between Stages,Operating,Well Swap,,16,
Briscoe Carla Ranch 18 HZ,42-127-38293,6,L1,3/7/20,23:15,3/8/20,1:05,,Operating,Pumping,,110,
Briscoe Carla Ranch 18 HZ,42-127-38293,,L1,3/8/20,1:05,3/8/20,1:12,During Stage,NPT_Operations,Iron,"Shut down due to leak(chiksan downstock of the first manifold), shutdown as per frac consultant.",7,
Briscoe Carla Ranch 18 HZ,42-127-38293,6,L1,3/8/20,1:12,3/8/20,1:41,,Operating,Pumping,Flushing well with pumdown side as per WSM,29,
Briscoe Carla Ranch 18 HZ,42-127-38293,,L1,3/8/20,1:41,3/8/20,3:04,During Stage,NPT_Operations,Prime and Test,,83,
Briscoe Carla Ranch 18 HZ,42-127-38293,6,L1,3/8/20,3:04,3/8/20,3:35,,Operating,Pumping,"Resumed pumping, reached designed rate and initiated proppant displacement in intervals of 0.50ppg. All proppant was placed. ",31,
Briscoe Carla Ranch 18 HX,42-127-38291,,L1,3/8/20,3:35,3/8/20,3:56,Between Stages,Operating,Well Swap,,21,
Briscoe Carla Ranch 18 HX,42-127-38291,7,L1,3/8/20,3:56,3/8/20,4:47,,Operating,Pumping,,51,
Briscoe Carla Ranch 18 HX,42-127-38291,,L1,3/8/20,4:47,3/8/20,4:49,During Stage,NPT_Operations,Frac Pump,Briefly flushed our lines in order to shutdown in order to close in pump FP21.,2,
Briscoe Carla Ranch 18 HX,42-127-38291,7,L1,3/8/20,4:49,3/8/20,5:15,,Operating,Pumping,FP28-packing hole 2;,26,
Briscoe Carla Ranch 18 HX,42-127-38291,,L1,3/8/20,5:15,3/8/20,5:16,During Stage,NPT_Operations,Frac Pump,Briefly flushed our lines in order to shutdown in order to close in pump FP28.,1,
Briscoe Carla Ranch 18 HX,42-127-38291,7,L1,3/8/20,5:16,3/8/20,6:00,,Operating,Pumping,,44,
Briscoe Carla Ranch 18 HX,42-127-38291,7,L3,3/8/20,6:00,3/8/20,6:23,,Operating,Pumping,shift change; FP31 V&S; ran a sweep to clean hopper mesh; all proppant placed,23,
Briscoe Carla Ranch 18 HY,42-127-38292,,L3,3/8/20,6:23,3/8/20,8:23,Between Stages,Operating,Maintenance-Scheduled ,datavan & backside equipment PCs restart; FP28 packing hole 1; FP21 packing hole 3; FP29 V&S; FP32 D-ring hole 3; FP23 D-ring hole 4; FP60 V&S; ,120,
Briscoe Carla Ranch 18 HY,42-127-38292,,L3,3/8/20,8:23,3/8/20,8:40,Between Stages,NPT_Operations,Pump Maintenance,FP27 V&S; FP31 V&S;,17,
Briscoe Carla Ranch 18 HY,42-127-38292,,L3,3/8/20,8:40,3/8/20,9:10,Between Stages,Operating,Prime and Test,,30,
Briscoe Carla Ranch 18 HY,42-127-38292,7,L3,3/8/20,9:10,3/8/20,11:16,,Operating,Pumping,FP23 D-ring hole 3; FP8 V&S; FP8 V&S; FP29 V&S; ran a sweep to clean hopper screen; All Proppant Placed. Good Stage,126,
Briscoe Carla Ranch 18 HZ,42-127-38293,,L3,3/8/20,11:16,3/8/20,11:46,Between Stages,Operating,Well Swap,,30,
Briscoe Carla Ranch 18 HZ,42-127-38293,,L3,3/8/20,11:46,3/8/20,11:51,Between Stages,NPT_Operations,Pump Maintenance,Tied in P31 & FP28,5,
Briscoe Carla Ranch 18 HZ,42-127-38293,,L3,3/8/20,11:51,3/8/20,12:03,Between Stages,Operating,Prime and Test,,12,
Briscoe Carla Ranch 18 HZ,42-127-38293,7,L3,3/8/20,12:03,3/8/20,14:07,,Operating,Pumping,FP55 V&S; ran a sweep to clean hopper screen; All Proppant Placed. Good Stage,124,
Briscoe Carla Ranch 18 HX,42-127-38291,,L3,3/8/20,14:07,3/8/20,14:22,Between Stages,Operating,Well Swap,,15,
Briscoe Carla Ranch 18 HX,42-127-38291,8,L3,3/8/20,14:22,3/8/20,16:20,,Operating,Pumping,ran a sweep to clean hopper screen; All Proppant Placed. Good Stage,118,
Briscoe Carla Ranch 18 HY,42-127-38292,,L3,3/8/20,16:20,3/8/20,16:33,Between Stages,Operating,Well Swap,,13,
Briscoe Carla Ranch 18 HY,42-127-38292,8,L3,3/8/20,16:33,3/8/20,18:00,,Operating,Pumping,,87,
Briscoe Carla Ranch 18 HY,42-127-38292,8,L1,3/8/20,18:00,3/8/20,18:40,,Operating,Pumping,All proppant placed ,40,
Briscoe Carla Ranch 18 HZ,42-127-38293,,L1,3/8/20,18:40,3/8/20,18:56,Between Stages,Operating,Well Swap,,16,
Briscoe Carla Ranch 18 HZ,42-127-38293,8,L1,3/8/20,18:56,3/8/20,21:04,,Operating,Pumping,"All proppant placed, a sweep was ran in oder to clean out the screen inside the hopper free of pebbles, screw #2 on BL7 kept turning off and on, mechanic to diagnose, FP47 valves and seats.",128,
Briscoe Carla Ranch 18 HZ,42-127-38293,,L1,3/8/20,21:04,3/8/20,22:52,Between Stages,Operating,Maintenance-Scheduled ,"FP32-Dring hole #5:FP22-tied;FP60,55,28,27,31;rebooted davan PC's, swapped blenders",108,
Briscoe Carla Ranch 18 HX,42-127-38291,,L1,3/8/20,22:52,3/8/20,23:04,Between Stages,Operating,Prime and Test,,12,
Briscoe Carla Ranch 18 HX,42-127-38291,9,L1,3/8/20,23:04,3/9/20,1:10,,Operating,Pumping,"All proppant placed, good stage .",126,
Briscoe Carla Ranch 18 HY,42-127-38292,,L1,3/9/20,1:10,3/9/20,1:26,Between Stages,Operating,Well Swap,,16,
Briscoe Carla Ranch 18 HY,42-127-38292,9,L1,3/9/20,1:26,3/9/20,3:26,,Operating,Pumping,"All proppant placed, good stage.",120,
Briscoe Carla Ranch 18 HZ,42-127-38293,,L1,3/9/20,3:26,3/9/20,3:43,Between Stages,Operating,Well Swap,,17,
Briscoe Carla Ranch 18 HZ,42-127-38293,9,L1,3/9/20,3:43,3/9/20,5:45,,Operating,Pumping,FP25-spot check; all prop placed,122,
Briscoe Carla Ranch 18 HX,42-127-38291,,L1,3/9/20,5:45,3/9/20,6:00,Between Stages,Operating,Well Swap,,15,
Briscoe Carla Ranch 18 HX,42-127-38291,,L3,3/9/20,6:00,3/9/20,6:02,Between Stages,Operating,Well Swap,,2,
Briscoe Carla Ranch 18 HX,42-127-38291,10,L3,3/9/20,6:02,3/9/20,8:11,,Operating,Pumping,"FP32 packing hole 3; All proppant placed, good stage.",129,
Briscoe Carla Ranch 18 HY,42-127-38292,,L3,3/9/20,8:11,3/9/20,8:27,Between Stages,Operating,Well Swap,,16,
Briscoe Carla Ranch 18 HY,42-127-38292,10,L3,3/9/20,8:27,3/9/20,10:32,,Operating,Pumping,"All proppant placed, good stage.",125,
Briscoe Carla Ranch 18 HZ,42-127-38293,,L3,3/9/20,10:32,3/9/20,11:40,Between Stages,Operating,Maintenance-Scheduled ,datavan & backside equipment PCs restart; FP25 V&S; FP32 packing hole 3; ,68,
Briscoe Carla Ranch 18 HZ,42-127-38293,,L3,3/9/20,11:40,3/9/20,11:56,Between Stages,Operating,Prime and Test,,16,
Briscoe Carla Ranch 18 HZ,42-127-38293,10,L3,3/9/20,11:56,3/9/20,14:08,,Operating,Pumping,"FP32 V&S; FP12 packing hole 3; FP20 coolant hose leak; SD for less than a minute to isloate FP12; All proppant placed, good stage.",132,
Briscoe Carla Ranch 18 HX,42-127-38291,,L3,3/9/20,14:08,3/9/20,14:38,Between Stages,Operating,Well Swap,swapped from BL8 to BL7,30,
Briscoe Carla Ranch 18 HX,42-127-38291,11,L3,3/9/20,14:38,3/9/20,16:46,,Operating,Pumping,"couldn't read clean rate at beginning of stage, e-tech fixed issue, All proppant placed, good stage.",128,
Briscoe Carla Ranch 18 HY,42-127-38292,,L3,3/9/20,16:46,3/9/20,17:14,Between Stages,Operating,Well Swap,,28,
Briscoe Carla Ranch 18 HY,42-127-38292,11,L3,3/9/20,17:14,3/9/20,18:00,,Operating,Pumping,,46,
Briscoe Carla Ranch 18 HY,42-127-38292,11,L1,3/9/20,18:00,3/9/20,19:28,,Operating,Pumping,"All prop placed, good stage  ",88,
Briscoe Carla Ranch 18 HZ,42-127-38293,,L1,3/9/20,19:28,3/9/20,19:42,Between Stages,Operating,Well Swap,,14,
Briscoe Carla Ranch 18 HZ,42-127-38293,,L1,3/9/20,19:42,3/9/20,19:52,Between Stages,Operating,Prime and Test,,10,
Briscoe Carla Ranch 18 HZ,42-127-38293,11,L1,3/9/20,19:52,3/9/20,22:15,,Operating,Pumping,,143,
Briscoe Carla Ranch 18 HX,42-127-38291,,L1,3/9/20,22:15,3/9/20,22:49,Between Stages,Operating,Well Swap,,34,
Briscoe Carla Ranch 18 HX,42-127-38291,,L1,3/9/20,22:49,3/9/20,23:05,Between Stages,Operating,Prime and Test,,16,
Briscoe Carla Ranch 18 HX,42-127-38291,12,L1,3/9/20,23:05,3/10/20,0:54,,Operating,Pumping,Leak on discharge manifold BL7,109,
Briscoe Carla Ranch 18 HX,42-127-38291,,L1,3/10/20,0:54,3/10/20,1:14,During Stage,NPT_Operations,Blender,Pin-hole leak on the dischage manifold on the BL7. Swapped over to BL8,20,
Briscoe Carla Ranch 18 HX,42-127-38291,12,L1,3/10/20,1:14,3/10/20,1:57,,Operating,Pumping,"BL8- Screw #3 not working, could not reach desired proppant concentration. ",43,
Briscoe Carla Ranch 18 HY,42-127-38292,,L1,3/10/20,1:57,3/10/20,3:57,Between Stages,Operating,Maintenance-Scheduled ,"Rebooted DV PC's,swapped blenders,welded pinhole leak on BL7,fixed screw on BL8;pulled out FP28 valves and seats,FP16-Dring.FP1-Dring hole#2;",120,
Briscoe Carla Ranch 18 HY,42-127-38292,,L1,3/10/20,3:57,3/10/20,4:19,Between Stages,NPT_Operations,Blender,Welder welding pinhole leak on BL8.,22,
Briscoe Carla Ranch 18 HY,42-127-38292,,L1,3/10/20,4:19,3/10/20,4:35,Between Stages,Operating,Prime and Test,,16,
Briscoe Carla Ranch 18 HY,42-127-38292,,L1,3/10/20,4:35,3/10/20,4:42,Between Stages,NPT_Operations,Iron,FP29-leak(High pressure seal on down stock),7,
Briscoe Carla Ranch 18 HY,42-127-38292,,L1,3/10/20,4:42,3/10/20,4:51,Between Stages,Operating,Prime and Test,,9,
Briscoe Carla Ranch 18 HY,42-127-38292,12,L1,3/10/20,4:51,3/10/20,6:00,,Operating,Pumping,"When initiating stage, blender screws were set in manual causing the proppant concentration to come up to 0.50ppg instead of ramping from 0.10.",69,
Briscoe Carla Ranch 18 HY,42-127-38292,12,L3,3/10/20,6:00,3/10/20,6:58,,Operating,Pumping,Shift change;  All prop placed,58,
Briscoe Carla Ranch 18 HZ,42-127-38293,,L3,3/10/20,6:58,3/10/20,7:15,Between Stages,Operating,Well Swap,,17,
Briscoe Carla Ranch 18 HZ,42-127-38293,,L3,3/10/20,7:15,3/10/20,7:20,Between Stages,NPT_Operations,Iron,Replaced rubber seal on down stock for riser,5,
Briscoe Carla Ranch 18 HZ,42-127-38293,,L3,3/10/20,7:20,3/10/20,7:29,Between Stages,Operating,Prime and Test,,9,
Briscoe Carla Ranch 18 HZ,42-127-38293,12,L3,3/10/20,7:29,3/10/20,9:29,,Operating,Pumping,Screw 2 kicked out during 1.25 ppg. All prop placed,120,
Briscoe Carla Ranch 18 HX,42-127-38291,,L3,3/10/20,9:29,3/10/20,9:44,Between Stages,Operating,Well Swap,,15,
Briscoe Carla Ranch 18 HX,42-127-38291,13,L3,3/10/20,9:44,3/10/20,11:48,,Operating,Pumping,"FP5 packing hole 3, FP37 v/s. All prop placed",124,
Briscoe Carla Ranch 18 HY,42-127-38292,,L3,3/10/20,11:48,3/10/20,12:03,Between Stages,Operating,Well Swap,,15,
Briscoe Carla Ranch 18 HY,42-127-38292,13,L3,3/10/20,12:03,3/10/20,14:08,,Operating,Pumping,"Ran 10 loads of sand per consultant. All prop placed, good stage",125,
Briscoe Carla Ranch 18 HZ,42-127-38293,,L3,3/10/20,14:08,3/10/20,14:23,Between Stages,Operating,Well Swap,,15,
Briscoe Carla Ranch 18 HZ,42-127-38293,13,L3,3/10/20,14:23,3/10/20,16:22,,Operating,Pumping,"All prop placed, good stage  ",119,
Briscoe Carla Ranch 18 HX,42-127-38291,,L3,3/10/20,16:22,3/10/20,16:36,Between Stages,Operating,Well Swap,,14,
Briscoe Carla Ranch 18 HX,42-127-38291,14,L3,3/10/20,16:36,3/10/20,18:00,,Operating,Pumping,,84,
Briscoe Carla Ranch 18 HX,42-127-38291,14,L1,3/10/20,18:00,3/10/20,18:45,,Operating,Pumping,All proppant placed good stage ,45,
Briscoe Carla Ranch 18 HY,42-127-38292,,L1,3/10/20,18:45,3/10/20,20:42,Between Stages,Operating,Maintenance-Scheduled ,"Rebooted DV PC's,swapped blenders(BL7 to BL8),",117,
Briscoe Carla Ranch 18 HY,42-127-38292,,L1,3/10/20,20:42,3/10/20,21:02,Between Stages,Operating,Prime and Test,,20,
Briscoe Carla Ranch 18 HY,42-127-38292,14,L1,3/10/20,21:02,3/10/20,23:11,,Operating,Pumping,"Difficulty achieving desired proppant concentrations, all proppant placed.  Blender densometer readings inconsistant. FP23 Dring hole 2; FP 21 v/s.",129,
Briscoe Carla Ranch 18 HZ,42-127-38293,,L1,3/10/20,23:11,3/10/20,23:39,Between Stages,Operating,Well Swap,Swapped from BL8 to BL7 so that etech could work on the blender densometer due to eratic readings. ,28,
Briscoe Carla Ranch 18 HZ,42-127-38293,14,L1,3/10/20,23:39,3/11/20,1:45,,Operating,Pumping,"All proppant placed, FP31-V&S/spot check",126,
Briscoe Carla Ranch 18 HX,42-127-38291,,L1,3/11/20,1:45,3/11/20,2:01,Between Stages,Operating,Well Swap,,16,
Briscoe Carla Ranch 18 HX,42-127-38291,15,L1,3/11/20,2:01,3/11/20,4:08,,Operating,Pumping,Towards the end of the stage a pinhole was noticed on the discharge manifold of BL7; all proppant placed good stage.,127,
Briscoe Carla Ranch 18 HY,42-127-38292,,L1,3/11/20,4:08,3/11/20,4:24,Between Stages,Operating,Well Swap,Swapping from BL7 to BL8,16,
Briscoe Carla Ranch 18 HY,42-127-38292,15,L1,3/11/20,4:24,3/11/20,6:00,,Operating,Pumping,Got out of FP20 for a leaky hydraulic hose;,96,
Briscoe Carla Ranch 18 HY,42-127-38292,15,L2,3/11/20,6:00,3/11/20,6:37,,Operating,Pumping,shift change; all prop placed,37,
Briscoe Carla Ranch 18 HZ,42-127-38293,,L2,3/11/20,6:37,3/11/20,6:53,Between Stages,Operating,Well Swap,,16,
Briscoe Carla Ranch 18 HZ,42-127-38293,15,L2,3/11/20,6:53,3/11/20,8:44,,Operating,Pumping,"FP29 fuel filters, FP22 packing",111,
Briscoe Carla Ranch 18 HZ,42-127-38293,,L2,3/11/20,8:44,3/11/20,8:51,During Stage,NPT_Operations,Frac Pump,Check valve not holding had to shutdown to bull-plug pump.,7,
Briscoe Carla Ranch 18 HZ,42-127-38293,,L2,3/11/20,8:51,3/11/20,8:59,During Stage,NPT_Operations,Prime and Test,,8,
Briscoe Carla Ranch 18 HZ,42-127-38293,15,L2,3/11/20,8:59,3/11/20,9:22,,Operating,Pumping,FP16 fuel filters,23,
Briscoe Carla Ranch 18 HX,42-127-38291,,L2,3/11/20,9:22,3/11/20,11:22,Between Stages,Operating,Maintenance-Scheduled ,"Restarted DV PC's and backside equipment. Switched blenders.Swapped out FP22,FP21,FP23, FP20. Packing on FP59, Spot check FP31.",120,
Briscoe Carla Ranch 18 HX,42-127-38291,,L2,3/11/20,11:22,3/11/20,11:44,Between Stages,Operating,Prime and Test,,22,
Briscoe Carla Ranch 18 HX,42-127-38291,,L2,3/11/20,11:44,3/11/20,11:59,Between Stages,NPT_Operations,Iron,Leak on stock off station 4,15,
Briscoe Carla Ranch 18 HX,42-127-38291,,L2,3/11/20,11:59,3/11/20,12:07,Between Stages,Operating,Prime and Test,,8,
Briscoe Carla Ranch 18 HX,42-127-38291,16,L2,3/11/20,12:07,3/11/20,14:05,,Operating,Pumping,"FP27 V&S, All prop placed ",118,
